timestamp,x1,x2,volume,target
1,0.10,0.80,10,-1.10
2,0.18,0.72,11,-0.72
3,0.27,0.65,13,-0.30
4,0.35,0.58,15,0.08
5,0.42,0.50,18,0.46
6,0.48,0.41,21,0.82
7,0.53,0.32,24,1.15
8,0.57,0.22,28,1.45
9,0.60,0.12,32,1.68
10,0.61,0.02,35,1.84
11,0.60,-0.08,37,1.94
12,0.57,-0.18,38,1.96
13,0.52,-0.27,36,1.92
14,0.45,-0.35,34,1.80
15,0.37,-0.42,30,1.61
16,0.28,-0.47,27,1.38
17,0.18,-0.51,23,1.11
18,0.08,-0.53,20,0.83
19,-0.02,-0.53,18,0.56
20,-0.12,-0.51,17,0.31
21,-0.21,-0.46,18,0.10
22,-0.29,-0.39,20,-0.05
23,-0.36,-0.31,23,-0.13
24,-0.41,-0.21,27,-0.13
25,-0.44,-0.10,31,-0.04
26,-0.45,0.01,35,0.13
27,-0.43,0.12,38,0.37
28,-0.39,0.23,40,0.66
29,-0.33,0.33,41,1.00
30,-0.25,0.42,39,1.36
31,-0.15,0.49,36,1.73
32,-0.04,0.54,32,2.08
33,0.07,0.57,28,2.39
34,0.18,0.57,24,2.64
35,0.29,0.55,21,2.83
36,0.39,0.51,19,2.94
37,0.48,0.44,18,2.98
38,0.56,0.36,19,2.95
39,0.62,0.26,21,2.84
40,0.66,0.15,25,2.66
41,0.68,0.04,30,8.40
42,0.67,-0.07,35,2.13
43,0.63,-0.18,39,1.83
44,0.57,-0.28,42,1.52
45,0.49,-0.37,43,1.22
46,0.39,-0.44,41,0.96
47,0.28,-0.49,38,0.76
48,0.16,-0.52,34,0.64
